rank,client_hash_id,content_hash_id,model_score,action,reason_code,confidence,impressions,clicks,avg_position,ctr
134,client_e5c2aa26a8598242,content_cf649d8e70299bbb,0.8003378031679175,refresh_priority,low_ctr,high,1388.0,2.0,7.9711605807156225,0.0014409221902017
135,client_b10cb2997d0c7c86,content_5456a019430a25ae,0.8003062562578886,refresh_priority,weak_position|low_ctr,high,193.0,0.0,22.09506012506013,0.0
136,client_b10cb2997d0c7c86,content_c34d1700492d317a,0.8002901579886763,refresh_priority,weak_position|low_ctr,high,3194.0,1.0,10.17643188131552,0.0003130870381966
137,client_9958f0a7ae1df715,content_f30d32b8f52f75dd,0.8002753609569174,refresh_priority,weak_position|low_ctr,high,323.0,0.0,24.256732150504945,0.0
138,client_a80fca3f171ed1de,content_73ae9dc6b80dc6e4,0.8001424209685661,refresh_priority,weak_position|low_ctr,high,689.0,1.0,18.584462660047304,0.0014513788098693
139,client_a80fca3f171ed1de,content_ecdace3466e48d8d,0.7999798047642367,refresh_priority,low_ctr,high,1660.0,4.0,8.397153673683848,0.0024096385542168
140,client_73cda7b4e4f265ea,content_23c4f00db0b8cdde,0.799847579019507,refresh_priority,weak_position|low_ctr,high,2270.0,1.0,15.26191259147902,0.0004405286343612
141,client_fef1a8f436438636,content_ca309289044a5402,0.7998220992337937,refresh_priority,weak_position|low_ctr,high,842.0,1.0,13.766805694039611,0.001187648456057
142,client_9958f0a7ae1df715,content_c5c8a9160d8b64ae,0.7997760092262545,refresh_priority,weak_position,high,356.0,1.0,50.34932536518063,0.0028089887640449
143,client_23a62021009f63c4,content_beedaa96e88cf477,0.7997411817232538,refresh_priority,weak_position|low_ctr,high,2230.0,4.0,42.524202482336,0.0017937219730941
144,client_b10cb2997d0c7c86,content_077bee5ee97a1e6b,0.7994145134339774,refresh_priority,weak_position|low_ctr,high,2197.0,0.0,27.389308764137542,0.0
145,client_23a62021009f63c4,content_e6bc42145abcf0df,0.7991767474034119,refresh_priority,weak_position|low_ctr,high,1423.0,3.0,39.512203606845375,0.0021082220660576
146,client_23a62021009f63c4,content_48ad71fcc8913ef9,0.7991077649413981,refresh_priority,weak_position|low_ctr,high,1555.0,3.0,27.620696048870307,0.0019292604501607
147,client_23a62021009f63c4,content_0dfd0fdb086ebf87,0.7990325954122053,refresh_priority,weak_position|low_ctr,high,4544.0,4.0,20.466792672095856,0.0008802816901408
148,client_73cda7b4e4f265ea,content_9cb3b818ad1a3d30,0.7988792810449646,refresh_priority,weak_position|low_ctr,high,194.0,0.0,10.39730278980279,0.0
149,client_a80fca3f171ed1de,content_48d29fb3160761f9,0.7988741754975712,refresh_priority,weak_position|low_ctr,high,889.0,1.0,10.286048318383534,0.0011248593925759
150,client_73cda7b4e4f265ea,content_2a2f734091efba8a,0.7988451754952445,refresh_priority,low_ctr,high,1852.0,2.0,9.2106057910467,0.0010799136069114
151,client_73cda7b4e4f265ea,content_0c45b1a459c05371,0.798829853087863,refresh_priority,weak_position|low_ctr,high,1662.0,4.0,15.965606526122215,0.0024067388688327
152,client_810019792c9b8efc,content_659a51a6fcdede8f,0.7988201941818625,refresh_priority,weak_position,high,1152.0,4.0,18.97304663932517,0.0034722222222222
153,client_fef1a8f436438636,content_850faca3f9acf146,0.7985091777573241,refresh_priority,weak_position|low_ctr,high,421.0,1.0,16.930580972617417,0.002375296912114
154,client_23a62021009f63c4,content_dacd25f1444c7524,0.7984118263797411,refresh_priority,weak_position|low_ctr,high,1453.0,3.0,14.2000047255862,0.0020646937370956
155,client_810019792c9b8efc,content_8960bf8ba2c70658,0.7982768865592509,refresh_priority,general_review,high,1029.0,3.0,7.892576953495758,0.0029154518950437
156,client_23a62021009f63c4,content_7f0aed749dd85533,0.7982573278295445,refresh_priority,weak_position,high,726.0,2.0,20.151226571767705,0.0027548209366391
157,client_b10cb2997d0c7c86,content_90e996f3988dc24f,0.7981888833856374,refresh_priority,weak_position|low_ctr,high,286.0,0.0,24.2535177970178,0.0
158,client_73cda7b4e4f265ea,content_20d0890d80dec57b,0.7981706462563267,refresh_priority,weak_position|low_ctr,high,1293.0,2.0,14.45483628540923,0.0015467904098994
159,client_73cda7b4e4f265ea,content_0582fc364e6465c5,0.7981069763071409,refresh_priority,weak_position|low_ctr,high,1269.0,2.0,14.666318061263988,0.0015760441292356
160,client_73cda7b4e4f265ea,content_7cb00d346a6df58a,0.7980746805693604,refresh_priority,weak_position|low_ctr,high,477.0,0.0,15.860328038333115,0.0
161,client_23a62021009f63c4,content_bc204ccc71222475,0.7979916246086785,refresh_priority,weak_position|low_ctr,high,911.0,2.0,15.556866039375423,0.0021953896816684
